proton_vx_gse,proton_vy_gse,proton_vz_gse,proton_vx_gsm,proton_vy_gsm,proton_vz_gsm
1,34.8,11.2,-329.6,36.3,-4.4
2,,,,,
3,,,,,
4,34.4,10.9,-329.6,35.8,-4.6
5,,,,,
6,34.4,10.2,-329.3,35.5,-5.2
7,34.9,10.6,-326.5,36.2,-5.1
8,,,,,
9,,,,,
10,35.1,10.2,-326.6,36.1,-5.5
11,,,,,
12,34.6,10.5,-326.3,35.8,-5.1
13,,,,,
14,34.8,8.5,-329.5,35.2,-6.9
15,,,,,
16,37.1,6.6,-330.0,36.4,-9.7
17,36.9,7.5,-328.2,36.6,-8.8
18,,,,,
19,37.1,7.4,-327.6,36.7,-9.0
20,,,,,
21,,,,,
22,37.6,7.6,-327.5,37.3,-9.0
23,,,,,
24,36.6,6.0,-327.2,35.7,-10.1
25,36.2,5.8,-326.6,35.2,-10.1
26,,,,,
27,,,,,
28,34.8,5.1,-326.2,33.7,-10.2
29,35.1,5.4,-325.8,34.1,-10.0
30,,,,,
31,35.1,7.5,-326.1,34.9,-8.1
32,,,,,
33,,,,,
34,35.5,8.6,-326.2,35.8,-7.3
35,34.3,7.6,-324.8,34.3,-7.8
36,,,,,
37,,,,,
38,32.1,4.8,-324.4,31.1,-9.3
39,32.0,5.2,-323.1,31.2,-8.9
40,,,,,
41,31.3,5.4,-322.8,30.6,-8.5
42,,,,,
43,30.7,5.5,-321.8,30.1,-8.2
44,,,,,
45,30.4,5.7,-321.0,29.9,-7.8
46,,,,,
47,29.7,5.8,-320.5,29.3,-7.5
48,,,,,
49,29.8,6.3,-319.8,29.6,-7.1
50,,,,,
51,30.6,6.8,-318.5,30.6,-7.0
52,,,,,
53,,,,,
54,30.0,5.7,-316.4,29.5,-7.7
55,,,,,
56,29.9,5.2,-317.4,29.2,-8.2
57,,,,,
58,29.8,5.0,-317.4,29.0,-8.3
59,29.7,6.7,-314.6,29.7,-6.7
60,,,,,
61,,,,,
62,29.9,12.4,-311.5,32.3,-1.7000000000000002
63,,,,,
64,28.3,8.5,-313.1,29.2,-4.5
65,,,,,
66,26.9,7.7,-313.3,27.6,-4.7
67,28.6,13.4,-311.0,31.6,-0.30000000000000004
68,,,,,
69,,,,,
70,29.4,11.9,-311.2,31.7,-2.1
71,,,,,
72,27.6,4.9,-312.5,27.0,-7.5
73,,,,,
74,26.8,4.5,-312.6,26.2,-7.6
75,,,,,
76,24.9,4.9,-315.9,24.6,-6.4
77,24.4,5.4,-315.6,24.4,-5.7
78,,,,,
79,,,,,
80,25.6,6.8,-316.0,26.0,-5.0
81,,,,,
82,26.2,7.7,-313.8,27.0,-4.5
83,25.4,8.7,-314.8,26.7,-3.2
84,,,,,
85,26.3,8.5,-316.4,27.4,-3.8
86,,,,,
87,26.4,8.9,-316.3,27.6,-3.5
88,,,,,
89,,,,,
90,27.3,9.3,-316.3,28.6,-3.5
91,27.8,8.7,-316.8,28.8,-4.3
92,,,,,
93,28.3,9.5,-315.4,29.6,-3.8
94,,,,,
95,29.7,9.0,-315.6,30.7,-4.9
96,30.5,8.3,-315.9,31.1,-6.0
97,,,,,
98,31.2,8.2,-316.1,31.7,-6.3
99,,,,,
100,30.9,7.9,-315.7,31.3,-6.5
101,,,,,
102,30.9,10.3,-316.2,32.3,-4.3
103,,,,,
104,32.1,10.7,-316.5,33.5,-4.5
105,,,,,
106,31.1,9.5,-315.0,32.1,-5.1
107,,,,,
108,,,,,
109,29.4,9.6,-313.1,30.7,-4.4
110,29.1,10.8,-314.4,30.8,-3.2
111,,,,,
112,28.6,11.2,-314.8,30.6,-2.6
113,,,,,
114,,,,,
115,29.5,12.9,-315.3,32.2,-1.5
116,,,,,
117,30.7,13.8,-313.9,33.6,-1.1
118,,,,,
119,31.6,11.9,-313.3,33.6,-3.3
120,,,,,
121,32.7,13.8,-313.3,35.4,-2.0
122,,,,,
123,32.0,14.7,-312.4,35.2,-1.0
124,,,,,
125,33.2,14.1,-313.8,36.0,-2.1
126,36.2,13.1,-314.5,38.3,-4.3
127,,,,,
128,,,,,
129,35.0,11.5,-314.6,36.5,-5.3
130,,,,,
131,35.9,11.2,-316.2,37.2,-5.9
132,,,,,
133,36.1,13.6,-316.4,38.4,-3.9
134,32.7,12.1,-314.6,34.6,-3.7
135,,,,,
136,32.4,12.0,-315.0,34.3,-3.6
137,,,,,
138,32.6,12.5,-314.5,34.8,-3.4
139,,,,,
140,35.7,16.2,-317.9,39.2,-1.4
141,,,,,
142,35.7,14.7,-317.7,38.5,-2.8
143,,,,,
144,,,,,
145,38.0,17.8,-318.5,41.9,-1.0
146,38.2,18.9,-318.7,42.6,-0.1
147,,,,,
148,,,,,
149,36.9,15.6,-318.2,40.0,-2.5
150,37.2,14.5,-317.1,39.8,-3.6
151,,,,,
152,37.2,15.8,-318.1,40.4,-2.5
153,,,,,
154,,,,,
155,38.3,17.4,-318.4,42.0,-1.6
156,37.4,14.4,-316.5,39.9,-3.8
157,,,,,
158,,,,,
159,35.9,18.7,-319.3,40.5,0.6000000000000001
160,36.6,16.7,-319.3,40.2,-1.4
161,,,,,
162,35.9,12.2,-316.8,37.6,-5.2
163,,,,,
164,37.8,12.8,-316.5,39.5,-5.5
165,,,,,
166,,,,,
167,37.9,13.8,-316.3,40.0,-4.7
168,,,,,
169,38.7,12.9,-315.7,40.4,-5.9
170,,,,,
171,40.5,13.8,-314.9,42.3,-5.9
172,38.9,13.9,-316.0,41.0,-5.1
173,,,,,
174,,,,,
175,43.2,10.9,-316.3,43.5,-9.7
176,,,,,
177,41.1,17.1,-319.8,44.4,-3.3
178,,,,,
179,37.6,18.4,-321.7,41.9,-0.5
180,,,,,
181,43.6,18.9,-325.9,47.5,-2.7
182,37.5,18.9,-321.5,42.0,0.0
183,,,,,
184,,,,,
185,43.5,17.8,-319.7,46.9,-3.7
186,45.3,15.3,-322.2,47.4,-6.8
187,,,,,
188,41.0,16.8,-326.5,44.2,-3.5
189,,,,,
190,,,,,
191,31.8,20.6,-326.3,37.6,4.0
192,,,,,
193,32.4,10.7,-293.0,33.7,-5.1
194,-1.2,8.5,-287.5,2.8,8.2
195,,,,,
196,2.3,13.0,-324.9,8.0,10.5
197,,,,,
198,0.1,34.0,-337.2,15.5,30.3
199,,,,,
200,-3.6,23.0,-289.7,7.2,22.2
201,,,,,
202,-3.1,37.7,-288.0,14.4,35.0
203,,,,,
204,,,,,
205,13.8,46.8,-342.1,33.5,35.5
206,-1.5,32.8,-334.8,13.5,29.9
207,,,,,
208,-1.4,20.5,-294.8,8.0,18.9
209,,,,,
210,,,,,
211,23.6,15.7,-286.9,28.2,3.3
212,,,,,
213,2.7,18.9,-362.9,11.0,15.6
214,14.7,36.0,-384.7,29.5,25.4
215,,,,,
216,,,,,
217,-2.7,7.7,-291.3,1.1,8.1
218,,,,,
219,-1.7000000000000002,14.2,-448.8,5.0,13.4
220,12.0,12.3,-322.2,16.3,5.5
221,,,,,
222,-2.7,12.7,-286.9,3.3,12.5
223,,,,,
224,10.0,21.0,-286.2,18.5,14.2
225,,,,,
226,-10.4,34.3,-450.6,6.3,35.2
227,-4.2,11.1,-431.8,1.3,11.8
228,-5.1,13.6,-446.2,1.7000000000000002,14.4
229,-4.2,68.9,-451.8,27.7,63.3
230,-4.0,15.7,-451.1,3.6,15.9
231,32.1,14.2,-290.4,35.0,-2.0
232,6.3,8.0,-289.3,9.2,4.3
233,30.8,6.7,-290.1,30.4,-8.1
234,13.9,15.9,-288.4,19.6,7.8
235,-9.0,29.9,-339.0,5.7,30.7
236,-7.0,23.8,-330.9,4.6,24.4
237,-4.4,11.7,-466.8,1.4,12.4
238,-4.4,11.7,-466.5,1.4,12.4
239,-4.4,11.8,-470.5,1.5,12.5
240,-4.4,11.7,-469.7,1.4,12.4
241,-4.3,11.8,-469.7,1.6,12.5
242,-4.3,11.8,-469.8,1.6,12.5
243,-4.4,11.8,-470.2,1.5,12.5
244,-4.5,11.9,-470.3,1.5,12.6
245,-4.4,11.8,-469.9,1.5,12.5
246,-4.4,11.8,-470.3,1.5,12.5
247,-4.4,11.8,-470.4,1.5,12.5
248,-4.4,11.8,-469.4,1.5,12.5
249,-4.5,11.8,-470.5,1.4,12.5
250,-4.4,11.8,-469.7,1.5,12.5
251,-4.4,11.8,-470.5,1.5,12.5
252,-4.5,11.8,-470.5,1.4,12.6
253,-4.4,11.9,-469.8,1.5,12.5
254,-4.4,11.8,-470.4,1.5,12.5
255,-4.4,11.8,-470.3,1.5,12.5
256,-4.4,11.8,-470.8,1.5,12.5
257,-4.4,11.8,-470.8,1.5,12.5
258,-4.4,11.8,-470.4,1.5,12.5
259,-4.5,11.9,-470.8,1.5,12.6
260,-4.4,11.8,-470.8,1.5,12.5
261,-4.4,11.8,-470.6,1.5,12.5
262,-4.5,11.9,-470.2,1.5,12.6
263,-4.5,11.9,-470.7,1.5,12.6
264,-4.4,11.8,-470.6,1.5,12.5
265,-4.5,11.9,-470.5,1.5,12.6
266,-4.5,11.9,-470.5,1.5,12.6
267,-4.5,11.8,-470.6,1.4,12.5
268,-4.5,11.9,-470.7,1.5,12.6
269,-4.4,11.9,-470.9,1.6,12.6
270,-4.4,11.8,-470.7,1.5,12.5
271,-4.4,11.8,-470.7,1.5,12.5
272,-4.5,11.9,-470.6,1.5,12.6
273,-4.4,11.9,-471.1,1.6,12.6
274,-4.4,11.9,-470.7,1.6,12.6
275,-4.4,11.8,-470.5,1.5,12.5
276,-4.5,11.9,-470.6,1.5,12.6
277,-4.5,11.8,-470.7,1.5,12.6
278,-4.4,11.9,-471.1,1.6,12.6
279,-4.7,11.8,-470.4,1.3,12.6
280,-107.8,-2.1,-469.3,-96.6,47.9
281,-103.8,4.1,-470.3,-90.2,51.6
282,-4.5,11.9,-470.4,1.5,12.6
283,-4.4,11.8,-470.7,1.6,12.5
284,-55.5,8.0,-470.5,-45.5,32.8
285,-4.5,11.9,-470.7,1.5,12.6
286,-4.4,11.9,-471.4,1.6,12.6
287,-4.4,11.8,-470.9,1.6,12.5
288,-4.4,11.8,-471.2,1.6,12.5
289,-102.0,0.8,-470.7,-90.1,47.8
290,-4.4,11.8,-471.5,1.6,12.5
291,-4.4,11.9,-471.5,1.6,12.6
292,-4.4,11.9,-471.4,1.6,12.6
293,-4.4,11.9,-471.0,1.6,12.6
294,-4.4,11.9,-471.0,1.6,12.6
295,-4.6,11.8,-471.0,1.4,12.6
296,-67.0,2.0,-471.4,-58.5,32.8
297,-111.6,0.6000000000000001,-471.0,-98.7,52.1
298,-4.3,11.7,-471.5,1.6,12.4
299,-4.4,11.9,-471.4,1.6,12.6
300,-92.5,2.2,-471.4,-81.0,44.7
301,-47.6,8.6,-471.0,-38.2,29.6
302,-100.5,-1.6,-471.4,-89.9,45.0
303,-93.8,0.8,-471.3,-82.9,44.1
304,-102.9,-4.4,-470.8,-93.3,43.7
305,-102.4,-3.9,-471.0,-92.6,43.8
306,-76.3,1.8,-471.5,-66.9,36.8
307,-105.2,-1.6,-471.2,-94.0,47.1
308,-92.5,-0.9,-471.4,-82.4,41.9
309,-102.8,-5.1,-471.5,-93.6,43.0
310,-99.3,-4.8,-471.5,-90.3,41.6
311,-103.7,-0.7000000000000001,-471.3,-92.3,47.2
312,-100.6,0.4,-471.4,-89.1,46.8
313,-99.9,-1.0,-471.3,-89.1,45.3
314,-98.1,-2.8,-471.8,-88.4,42.8
315,-103.7,-2.2,-471.8,-93.0,45.9
316,-107.4,-3.9,-471.1,-97.1,46.1
317,-96.4,0.30000000000000004,-471.3,-85.4,44.7
318,-100.0,-1.2,-471.5,-89.3,45.1
319,-102.1,-2.8,-471.6,-91.9,44.6
320,-101.2,-2.7,-471.7,-91.0,44.3
321,-97.2,-5.9,-471.7,-89.0,39.6
322,-101.8,-2.8,-471.1,-91.7,44.4
323,-95.1,-1.6,-471.3,-85.2,42.4
324,-97.1,-3.1,-471.3,-87.6,42.0
325,-93.8,-1.8,-471.4,-84.1,41.6
326,-83.7,-2.1,-472.0,-75.2,36.7
327,-87.5,1.4,-471.9,-77.0,41.6
328,-99.4,1.1,-471.8,-87.7,46.7
329,-92.9,-3.0,-471.8,-83.8,40.1
330,-98.0,-1.9,-471.8,-87.9,43.4
331,-96.0,-2.8,-471.8,-86.5,41.7
332,-97.6,-3.3,-471.8,-88.2,42.0
333,-99.7,-2.7,-471.8,-89.8,43.5
334,-99.5,-1.6,-471.4,-89.1,44.3
335,-96.9,-1.2,-471.5,-86.6,43.5
336,-95.4,-2.4,-471.6,-85.8,41.8
337,-96.9,-0.5,-471.3,-86.3,44.0
338,-97.1,-2.8,-471.5,-87.6,42.1
339,-95.2,3.7,-471.6,-82.9,47.0
340,-102.6,-2.4,-470.9,-92.2,45.0
341,-97.5,-3.5,-471.1,-88.3,41.6
342,-103.9,13.5,-471.4,-86.1,59.7
343,-4.1,11.0,-420.4,1.4,11.6
344,48.7,25.2,-337.7,54.8,0.1
345,-3.1,8.5,-334.9,1.1,8.9
346,-3.1,8.4,-333.8,1.1,8.9
347,-3.1,8.4,-333.6,1.1,8.9
348,-3.1,8.4,-333.9,1.1,8.9
349,-3.1,8.4,-332.9,1.1,8.9
350,-3.1,15.0,-332.4,4.1,14.7
351,35.5,24.3,-332.7,42.7,5.4
352,35.9,24.3,-332.5,43.0,5.2
353,36.2,24.0,-332.0,43.2,4.8
354,-3.1,8.6,-331.5,1.2,9.1
355,13.9,11.8,-326.5,17.8,4.1
356,34.4,20.4,-328.5,39.9,2.4
357,32.0,18.7,-325.4,37.0,2.0
358,34.0,14.1,-325.3,36.7,-3.0
359,-3.0,8.3,-328.4,1.1,8.8
360,-1.3,9.7,-327.7,3.3,9.2
361,32.5,20.7,-328.1,38.4,3.6
362,30.8,20.9,-327.8,37.0,4.5
363,31.6,21.0,-326.3,37.7,4.3
364,26.8,21.4,-325.5,33.6,6.8
365,28.6,18.6,-324.3,33.9,3.6
366,27.1,17.1,-325.3,31.9,2.9
367,27.6,17.2,-324.4,32.4,2.8
368,28.3,17.4,-324.3,33.1,2.6
369,27.6,16.3,-323.8,32.0,2.0
370,27.7,18.0,-325.2,32.9,3.4
371,28.9,19.4,-326.7,34.5,4.2
372,29.0,18.9,-326.1,34.4,3.7
373,15.1,15.3,-324.4,20.3,6.8
374,28.4,20.4,-324.3,34.5,5.4
375,30.6,21.8,-325.5,37.2,5.6
376,27.3,20.0,-326.7,33.4,5.4
377,30.8,20.4,-328.4,36.7,4.2
378,38.4,0.6000000000000001,-323.9,34.6,-16.8
379,38.6,8.8,-325.6,38.4,-9.6
380,30.6,9.0,-325.2,31.4,-5.8
381,25.9,16.4,-332.2,30.5,3.0
382,28.2,-11.2,-325.0,20.1,-22.7
383,27.3,-22.2,-325.5,14.4,-32.1
384,31.4,-21.9,-325.0,18.2,-33.7
385,34.3,-34.8,-325.4,14.9,-46.5
386,41.9,-31.6,-324.9,23.2,-47.1
387,26.5,-18.7,-326.8,15.3,-28.6
388,37.7,-40.0,-324.6,15.7,-52.6
389,31.1,-26.6,-325.4,15.8,-37.7
390,35.4,-13.1,-325.8,25.8,-27.6
391,-3.1,8.3,-329.4,1.0,8.8
392,32.6,15.6,-329.0,36.1,-0.7000000000000001
393,31.6,15.8,-326.8,35.3,0.0
394,27.9,18.8,-325.7,33.4,4.3
395,28.6,18.0,-324.7,33.6,3.3
396,27.9,16.3,-325.1,32.2,2.1
397,29.0,15.9,-325.9,33.0,1.2
398,29.9,16.8,-326.5,34.3,1.7000000000000002
399,29.5,17.5,-327.7,34.2,2.4
400,-3.0,8.2,-325.9,1.0,8.7
401,32.4,14.0,-326.8,35.2,-1.9
402,32.1,18.6,-328.3,37.0,2.3
403,12.8,11.9,-327.9,16.8,4.9
404,19.3,17.3,-328.4,25.0,6.9
405,19.9,16.0,-328.3,25.0,5.5
406,28.0,19.4,-328.4,33.7,4.9
407,29.7,20.3,-328.4,35.6,5.0
408,32.7,22.2,-328.6,39.2,5.3
409,17.2,15.9,-329.5,22.5,6.6
410,,,,,
411,29.5,19.0,-329.7,34.8,4.0
412,,,,,
413,,,,,
414,29.1,17.2,-330.1,33.7,2.5
415,,,,,
416,37.7,22.3,-330.4,43.7,3.3
417,,,,,
418,40.1,24.8,-331.1,47.0,4.5
419,,,,,
420,36.9,23.7,-330.6,43.6,4.9
421,31.2,23.5,-329.2,38.4,7.3
422,,,,,
423,,,,,
424,33.1,22.6,-329.4,39.6,5.6
425,35.7,23.1,-329.9,42.2,5.0
426,,,,,
427,34.2,20.6,-328.9,39.7,3.4
428,,,,,
429,33.7,22.0,-329.4,39.9,4.9
430,,,,,
431,,,,,
432,33.5,21.9,-328.7,39.7,4.9
433,,,,,
434,30.6,24.2,-328.5,38.1,8.3
435,29.0,21.2,-328.8,35.3,6.3
436,,,,,
437,19.7,15.7,-330.1,24.6,5.4
438,,,,,
439,,,,,
440,-3.0,8.3,-329.7,0.9,8.8
441,,,,,
442,-3.1,8.4,-331.3,0.9,8.9
443,,,,,
444,-3.1,8.4,-331.8,0.9,8.9
445,,,,,
446,34.2,13.4,-330.0,36.6,-3.0
447,,,,,
448,-3.0,8.6,-326.3,1.1,9.1
449,,,,,
450,9.4,11.7,-327.4,13.5,6.4
451,,,,,
452,-3.0,8.3,-327.6,0.9,8.8
453,,,,,
454,-3.0,8.4,-330.8,0.9,8.9
455,,,,,
456,13.2,16.9,-331.7,19.2,9.5
457,,,,,
458,26.4,25.6,-332.6,34.9,11.6
459,,,,,
460,21.5,19.4,-332.2,27.8,8.2
461,,,,,
462,37.8,25.8,-331.1,45.3,6.8
463,-3.0,16.1,-331.4,4.3,15.8
464,,,,,
465,,,,,
466,21.5,17.3,-330.4,26.9,6.2
467,20.4,17.9,-329.2,26.1,7.3
468,,,,,
469,,,,,
470,-2.8,8.4,-327.1,1.1,8.8
471,17.2,12.6,-324.7,21.0,3.9
472,,,,,
473,,,,,
474,28.9,14.7,-325.6,32.4,0.8
475,,,,,
476,29.1,15.5,-328.1,32.9,1.4
477,,,,,
478,12.8,10.0,-326.9,15.9,3.5
479,30.3,16.0,-327.9,34.2,1.4
480,,,,,
481,,,,,
482,-2.8,8.7,-331.6,1.2,9.0
483,34.5,18.4,-330.8,39.1,1.8
484,,,,,
485,-3.1,8.4,-332.0,0.8,8.9
486,,,,,
487,-3.1,8.4,-332.6,0.8,8.9
488,,,,,
489,,,,,
490,-3.1,8.4,-331.6,0.8,8.9
491,,,,,
492,19.9,16.7,-330.8,25.2,6.6
493,,,,,
494,32.4,21.2,-329.1,38.4,5.3
495,27.8,18.1,-328.6,32.9,4.5
496,,,,,
497,,,,,
498,25.4,17.0,-328.2,30.2,4.5
499,33.3,18.0,-330.0,37.8,2.1
500,,,,,
501,,,,,
502,33.7,18.3,-330.6,38.3,2.2
503,,,,,
504,32.8,19.5,-330.0,38.0,3.7
505,,,,,
506,31.9,17.6,-329.3,36.4,2.4
507,33.7,17.4,-329.9,37.9,1.4
508,,,,,
509,38.8,18.9,-329.9,43.2,0.7000000000000001
510,,,,,
511,,,,,
512,31.4,17.8,-329.1,36.0,2.8
513,,,,,
514,37.7,17.9,-330.6,41.8,0.30000000000000004
515,38.9,19.6,-331.6,43.6,1.3
516,,,,,
517,,,,,
518,39.3,19.9,-331.8,44.0,1.4
519,38.5,20.8,-332.2,43.7,2.6
520,,,,,
521,-3.0,8.4,-334.0,0.8,8.9
522,,,,,
523,,,,,
524,-2.7,8.4,-334.4,1.1,8.8
525,-3.0,8.4,-334.2,0.8,8.9
526,,,,,
527,,,,,
528,-3.1,8.4,-334.2,0.7000000000000001,8.9
529,-3.1,8.5,-335.5,0.7000000000000001,9.0
530,,,,,
531,-3.9,10.7,-426.6,0.9,11.4
532,,,,,
533,-3.4,9.4,-373.6,0.8,9.9
534,,,,,
535,,,,,
536,-0.7000000000000001,-5.1,-309.3,-2.8,-4.3
537,3.2,-22.0,-300.0,-6.3,-21.3
538,,,,,
539,,,,,
540,-3.0,8.2,-330.5,0.7000000000000001,8.7
541,,,,,
542,-4.1,11.9,-454.7,1.2,12.5
543,-3.4,9.3,-371.0,0.8,9.8
544,,,,,
545,-15.8,32.0,-312.0,-1.1,35.7
546,,,,,
547,,,,,
548,-3.6,9.9,-364.8,0.8,10.5
549,,,,,
550,-14.4,22.1,-311.1,-3.9,26.1
551,5.9,-32.6,-297.2,-8.2,-32.1
552,,,,,
553,-2.5,0.1,-311.4,-2.2,1.1
554,,,,,
555,,,,,
556,-3.4,-3.0,-374.0,-4.3,-1.3
557,,,,,
558,-2.9,8.0,-314.2,0.6000000000000001,8.4
559,-3.4,8.0,-316.8,0.2,8.7
560,,,,,
561,,,,,
562,-2.9,7.9,-313.5,0.6000000000000001,8.4
563,-2.9,7.9,-313.7,0.6000000000000001,8.4
564,,,,,
565,,,,,
566,-3.6,9.8,-388.9,0.7000000000000001,10.4
567,,,,,
568,-3.7,10.1,-400.2,0.8,10.7
569,,,,,
570,-4.3,11.9,-469.5,0.9,12.6
571,,,,,
572,-4.3,11.9,-469.7,0.9,12.6
573,-4.3,11.9,-469.5,0.9,12.6
574,,,,,
575,-4.3,11.9,-469.3,1.0,12.6
576,,,,,
577,,,,,
578,-4.3,11.9,-469.5,0.9,12.6
579,,,,,
580,-4.3,11.9,-470.1,0.9,12.6
581,-4.3,11.9,-470.1,0.9,12.6
582,,,,,
583,,,,,
584,-4.3,11.9,-469.5,0.9,12.6
585,-4.3,11.9,-469.3,0.9,12.6
586,,,,,
587,,,,,
588,-4.3,11.9,-468.9,0.9,12.6
589,,,,,
590,-4.3,11.9,-469.1,0.9,12.6
591,,,,,
592,-4.3,11.9,-469.7,0.9,12.6
593,-4.3,11.9,-469.5,0.9,12.6
594,,,,,
595,-4.4,11.9,-469.3,0.8,12.7
596,,,,,
597,-4.2,11.8,-469.8,0.9,12.5
598,,,,,
599,-4.4,11.9,-470.0,0.8,12.7
600,,,,,
601,,,,,
602,-4.2,11.9,-469.7,0.9,12.6
603,-4.3,11.8,-469.1,0.8,12.6
604,,,,,
605,,,,,
606,-4.3,11.9,-469.4,0.8,12.6
607,-4.3,11.9,-469.7,0.8,12.6
608,,,,,
609,,,,,
610,-4.3,11.9,-469.2,0.8,12.6
611,-4.3,11.9,-470.0,0.8,12.6
612,,,,,
613,,,,,
614,-4.3,11.9,-469.6,0.8,12.6
615,-4.3,11.9,-469.1,0.8,12.6
616,,,,,
617,,,,,
618,-4.3,11.9,-469.3,0.8,12.6
619,,,,,
620,-4.3,11.9,-469.8,0.8,12.6
621,-4.4,11.9,-470.3,0.7000000000000001,12.7
622,,,,,
623,-4.3,11.9,-469.9,0.7000000000000001,12.6
624,,,,,
625,,,,,
626,-4.3,11.9,-469.9,0.7000000000000001,12.6
627,,,,,
628,-4.4,11.9,-471.0,0.6000000000000001,12.7
629,-4.3,11.9,-471.1,0.8,12.6
630,,,,,
631,-4.3,11.9,-471.0,0.7000000000000001,12.6
632,,,,,
633,,,,,
634,-4.3,11.9,-470.6,0.7000000000000001,12.6
