proton_vx_gse,proton_vy_gse,proton_vz_gse,proton_vx_gsm,proton_vy_gsm,proton_vz_gsm
635,,,,,
636,-4.2,11.9,-470.6,0.8,12.6
637,-4.3,11.9,-470.7,0.7000000000000001,12.6
638,,,,,
639,,,,,
640,-4.4,11.9,-471.3,0.6000000000000001,12.7
641,-4.3,11.9,-471.1,0.7000000000000001,12.6
642,,,,,
643,,,,,
644,-4.3,11.9,-470.2,0.7000000000000001,12.6
645,,,,,
646,-4.4,11.9,-470.7,0.6000000000000001,12.7
647,-4.2,11.9,-470.0,0.7000000000000001,12.6
648,,,,,
649,,,,,
650,-4.4,11.9,-469.9,0.6000000000000001,12.7
651,-4.3,11.9,-470.0,0.6000000000000001,12.6
652,,,,,
653,-4.3,11.9,-469.5,0.6000000000000001,12.6
654,,,,,
655,,,,,
656,-4.3,11.9,-469.3,0.6000000000000001,12.6
657,,,,,
658,-4.3,11.9,-470.0,0.6000000000000001,12.6
659,-4.3,11.9,-469.4,0.6000000000000001,12.6
660,,,,,
661,-4.3,11.9,-469.5,0.6000000000000001,12.6
662,,,,,
663,,,,,
664,-4.3,11.9,-469.6,0.6000000000000001,12.6
665,-2.9,7.9,-314.1,0.4,8.4
666,,,,,
667,-4.3,11.9,-467.7,0.6000000000000001,12.6
668,,,,,
669,-4.2,11.8,-469.4,0.6000000000000001,12.5
670,,,,,
671,,,,,
672,-4.3,11.9,-469.3,0.5,12.7
673,-4.3,11.9,-469.7,0.5,12.6
674,,,,,
675,-4.3,11.9,-469.7,0.5,12.6
676,,,,,
677,-4.3,11.9,-469.4,0.5,12.6
678,,,,,
679,,,,,
680,-4.3,11.9,-469.6,0.5,12.6
681,-4.3,11.9,-469.5,0.5,12.6
682,,,,,
683,-4.3,11.9,-469.7,0.5,12.6
684,,,,,
685,,,,,
686,-4.3,11.9,-469.7,0.5,12.6
687,-4.3,11.9,-469.5,0.5,12.7
688,,,,,
689,-3.5,9.7,-381.5,0.4,10.3
690,,,,,
691,,,,,
692,4.5,-6.0,-301.5,1.9,-7.2
693,-2.8,7.9,-311.9,0.30000000000000004,8.4
694,,,,,
695,-4.3,11.9,-469.9,0.4,12.6
696,,,,,
697,,,,,
698,-4.3,11.9,-470.0,0.5,12.6
699,-4.3,11.9,-470.0,0.4,12.6
700,,,,,
701,,,,,
702,-4.3,11.9,-469.7,0.4,12.6
703,-4.3,11.9,-469.8,0.5,12.6
704,,,,,
705,-4.2,11.9,-469.5,0.4,12.6
706,,,,,
707,-4.3,11.9,-470.0,0.4,12.6
708,,,,,
709,-4.3,11.9,-469.9,0.4,12.6
710,,,,,
711,,,,,
712,-4.3,11.9,-470.3,0.4,12.6
713,,,,,
714,-2.9,8.0,-317.5,0.2,8.5
715,,,,,
716,-3.0,8.3,-328.7,0.2,8.8
717,,,,,
718,-3.0,8.3,-329.5,0.2,8.8
719,-4.3,11.6,-456.1,0.2,12.3
720,,,,,
721,,,,,
722,-4.2,11.1,-459.1,0.1,11.9
723,,,,,
724,-2.9,8.0,-384.1,0.2,8.5
725,,,,,
726,-2.9,8.0,-319.1,0.2,8.5
727,,,,,
728,-3.6,10.1,-319.5,0.30000000000000004,10.7
729,,,,,
730,-3.1,8.2,-315.9,0.1,8.8
731,,,,,
732,-2.9,8.0,-316.5,0.2,8.5
733,-4.3,11.9,-470.3,0.30000000000000004,12.7
734,,,,,
735,,,,,
736,-4.2,11.9,-470.2,0.4,12.6
737,,,,,
738,-4.4,11.9,-470.1,0.2,12.7
739,-3.5,9.9,-392.1,0.30000000000000004,10.5
740,,,,,
741,,,,,
742,-3.4,9.5,-381.0,0.2,10.1
743,-2.9,8.0,-314.3,0.2,8.5
744,,,,,
745,,,,,
746,-2.9,8.0,-314.9,0.2,8.5
747,,,,,
748,-3.0,8.1,-317.2,0.1,8.6
749,,,,,
750,-2.9,8.0,-314.9,0.2,8.5
751,,,,,
752,-2.8,8.0,-314.9,0.2,8.5
753,,,,,
754,-2.9,8.0,-314.9,0.2,8.5
755,,,,,
756,-2.9,8.0,-314.9,0.1,8.5
757,,,,,
758,-2.9,8.0,-314.9,0.1,8.5
759,,,,,
760,-2.8,8.0,-315.3,0.2,8.5
761,,,,,
762,-4.3,11.9,-471.2,0.1,12.7
763,,,,,
764,-4.3,11.9,-471.3,0.1,12.7
765,,,,,
766,-4.3,11.9,-470.6,0.1,12.7
767,,,,,
768,-4.3,11.9,-470.4,0.1,12.7
769,-4.2,11.9,-470.5,0.2,12.6
770,,,,,
771,,,,,
772,-4.2,11.9,-469.1,0.2,12.6
773,,,,,
774,-4.3,11.9,-471.6,0.1,12.6
775,-4.2,11.9,-471.6,0.2,12.6
776,,,,,
777,,,,,
778,-4.3,11.9,-470.6,0.1,12.7
779,,,,,
780,-2.9,8.0,-314.7,0.0,8.5
781,-2.9,8.0,-314.9,0.0,8.5
782,,,,,
783,-2.9,8.0,-314.9,0.0,8.5
784,,,,,
785,-3.5,9.7,-383.6,0.0,10.3
786,,,,,
787,,,,,
788,-4.2,11.9,-470.5,0.1,12.6
789,,,,,
790,-2.9,8.0,-314.9,0.0,8.5
791,-3.5,9.7,-384.0,0.0,10.3
792,,,,,
793,-3.6,10.2,-401.2,0.0,10.8
794,,,,,
795,-3.6,9.9,-392.1,0.0,10.6
796,,,,,
797,,,,,
798,-3.6,10.0,-392.5,0.0,10.6
799,-2.9,8.0,-314.9,0.0,8.5
800,,,,,
801,,,,,
802,-3.6,10.0,-393.2,0.0,10.6
803,,,,,
804,-4.3,12.0,-471.1,0.0,12.7
805,-4.3,11.9,-470.8,-0.1,12.7
806,,,,,
807,,,,,
808,-4.3,11.9,-471.1,-0.1,12.7
809,,,,,
810,-4.3,11.9,-471.5,-0.1,12.7
811,,,,,
812,-4.2,11.9,-471.8,0.0,12.6
813,-4.3,12.0,-471.4,-0.1,12.8
814,,,,,
815,-4.3,11.9,-471.4,-0.1,12.7
816,,,,,
817,-4.3,11.9,-471.2,-0.1,12.6
818,,,,,
819,,,,,
820,-4.3,12.0,-471.6,-0.1,12.7
821,,,,,
822,-4.3,11.9,-471.7,-0.1,12.6
823,-4.4,12.0,-471.6,-0.2,12.8
824,,,,,
825,-4.3,11.9,-471.7,-0.2,12.7
826,,,,,
827,-4.3,11.9,-471.4,-0.2,12.7
828,,,,,
829,-4.3,12.0,-471.7,-0.1,12.7
830,,,,,
831,-4.2,11.9,-471.5,-0.1,12.6
832,,,,,
833,-4.3,12.0,-471.7,-0.2,12.7
834,,,,,
835,-4.3,12.0,-471.8,-0.2,12.7
836,,,,,
837,-4.3,12.0,-471.5,-0.2,12.7
838,,,,,
839,-4.3,11.9,-471.7,-0.2,12.7
840,,,,,
841,,,,,
842,-4.3,12.0,-471.2,-0.2,12.7
843,-4.3,12.0,-471.9,-0.2,12.7
844,,,,,
845,,,,,
846,-4.3,11.9,-471.6,-0.2,12.7
847,-4.3,12.0,-472.2,-0.2,12.7
848,,,,,
849,,,,,
850,-4.2,12.0,-471.6,-0.1,12.7
851,,,,,
852,-4.3,12.0,-471.8,-0.30000000000000004,12.7
853,,,,,
854,-4.2,12.0,-471.7,-0.2,12.7
855,,,,,
856,-4.2,11.9,-471.3,-0.2,12.6
857,-4.3,12.0,-471.8,-0.30000000000000004,12.7
858,,,,,
859,-4.2,12.0,-471.8,-0.2,12.7
860,,,,,
861,,,,,
862,-4.3,11.9,-471.8,-0.30000000000000004,12.6
863,-4.2,11.9,-471.8,-0.30000000000000004,12.6
864,,,,,
865,,,,,
866,-4.4,12.0,-471.4,-0.4,12.8
867,-4.3,12.0,-472.0,-0.30000000000000004,12.7
868,,,,,
869,,,,,
870,-4.3,12.0,-471.7,-0.30000000000000004,12.7
871,,,,,
872,-4.3,12.0,-471.7,-0.30000000000000004,12.7
873,,,,,
874,-4.2,12.0,-471.5,-0.30000000000000004,12.7
875,-4.3,12.0,-471.5,-0.4,12.7
876,,,,,
877,-4.3,11.9,-471.6,-0.4,12.6
878,,,,,
879,-4.3,11.9,-471.7,-0.4,12.6
880,,,,,
881,,,,,
882,-4.3,12.0,-471.7,-0.4,12.7
883,,,,,
884,-4.2,11.9,-471.7,-0.30000000000000004,12.6
885,-4.3,12.0,-472.3,-0.4,12.7
886,,,,,
887,,,,,
888,-4.2,12.0,-471.9,-0.30000000000000004,12.7
889,-4.3,12.0,-471.6,-0.4,12.7
890,,,,,
891,-4.2,12.0,-471.6,-0.4,12.7
892,,,,,
893,-4.3,12.0,-472.4,-0.5,12.7
894,,,,,
895,,,,,
896,-4.2,12.0,-471.8,-0.4,12.7
897,-4.2,12.0,-472.2,-0.4,12.7
898,,,,,
899,,,,,
900,-4.2,12.0,-472.1,-0.4,12.7
901,-4.2,12.0,-472.0,-0.4,12.7
902,,,,,
903,,,,,
904,-4.2,12.0,-472.0,-0.5,12.7
905,,,,,
906,-4.2,12.0,-472.2,-0.4,12.7
907,,,,,
908,-4.2,11.9,-472.4,-0.4,12.7
909,-4.2,12.0,-472.5,-0.4,12.7
910,,,,,
911,,,,,
912,-4.3,12.0,-471.6,-0.5,12.7
913,,,,,
914,-4.2,11.9,-471.8,-0.5,12.6
915,-4.3,12.0,-471.3,-0.5,12.7
916,,,,,
917,,,,,
918,-4.3,11.9,-471.7,-0.6000000000000001,12.6
919,,,,,
920,-4.2,11.9,-471.5,-0.5,12.6
921,,,,,
922,-4.3,12.0,-471.8,-0.6000000000000001,12.7
923,,,,,
924,-4.3,12.0,-471.6,-0.6000000000000001,12.7
925,-4.2,11.9,-471.6,-0.5,12.6
926,,,,,
927,,,,,
928,-4.2,11.9,-471.1,-0.6000000000000001,12.6
929,-4.2,11.9,-471.3,-0.6000000000000001,12.6
930,,,,,
931,-4.2,12.0,-471.2,-0.5,12.7
932,,,,,
933,,,,,
934,-4.3,12.0,-472.3,-0.6000000000000001,12.7
935,,,,,
936,-4.3,12.0,-472.5,-0.7000000000000001,12.7
937,,,,,
938,-4.3,12.0,-471.6,-0.7000000000000001,12.7
939,,,,,
940,-4.3,11.9,-471.6,-0.7000000000000001,12.7
941,,,,,
942,-4.3,12.0,-470.9,-0.7000000000000001,12.7
943,,,,,
944,-4.1,11.9,-471.9,-0.5,12.6
945,,,,,
946,-4.2,11.9,-471.4,-0.7000000000000001,12.6
947,,,,,
948,-4.3,11.9,-471.4,-0.7000000000000001,12.6
949,,,,,
950,-4.2,12.0,-471.5,-0.6000000000000001,12.7
951,-4.3,12.0,-471.8,-0.7000000000000001,12.7
952,-4.2,12.0,-471.9,-0.7000000000000001,12.7
953,-4.2,11.9,-471.3,-0.7000000000000001,12.6
954,,,,,
955,-4.2,12.0,-471.5,-0.7000000000000001,12.6
956,,,,,
957,,,,,
958,-4.3,12.0,-471.3,-0.8,12.7
959,,,,,
960,-4.2,12.0,-471.8,-0.7000000000000001,12.7
961,-4.3,11.9,-471.3,-0.8,12.6
962,,,,,
963,-4.3,12.0,-471.5,-0.8,12.7
964,,,,,
965,-4.2,12.0,-471.6,-0.7000000000000001,12.6
966,,,,,
967,-4.3,12.0,-472.4,-0.8,12.7
968,,,,,
969,-4.2,11.9,-471.0,-0.8,12.6
970,,,,,
971,,,,,
972,-4.3,12.0,-471.2,-0.8,12.7
973,,,,,
974,-4.3,12.0,-471.2,-0.9,12.7
975,,,,,
976,-4.3,12.0,-471.3,-0.9,12.7
977,-4.3,12.0,-470.9,-0.9,12.7
978,,,,,
979,-4.3,11.9,-470.8,-0.9,12.6
980,,,,,
981,-4.3,12.0,-471.1,-0.9,12.7
982,,,,,
983,,,,,
984,-4.4,12.0,-471.3,-1.0,12.7
985,,,,,
986,-4.2,12.0,-471.3,-0.8,12.7
987,,,,,
988,-4.2,11.9,-471.1,-0.8,12.6
989,,,,,
990,-4.3,12.0,-471.2,-1.0,12.7
991,-4.2,12.0,-471.3,-0.8,12.7
992,,,,,
993,,,,,
994,-4.2,12.0,-471.4,-0.9,12.7
995,-4.2,12.0,-471.7,-0.9,12.7
996,,,,,
997,,,,,
998,-4.2,12.0,-471.4,-0.9,12.7
999,,,,,
1000,-4.2,12.0,-471.8,-0.9,12.7
1001,-4.2,12.0,-472.1,-0.9,12.7
1002,,,,,
1003,,,,,
1004,-4.3,12.0,-472.3,-1.0,12.7
1005,-4.3,12.0,-472.3,-1.0,12.7
1006,,,,,
1007,,,,,
1008,-4.2,12.0,-472.4,-0.9,12.7
1009,-4.3,12.0,-472.3,-1.0,12.7
1010,,,,,
1011,-4.3,12.0,-472.0,-1.0,12.7
1012,,,,,
1013,,,,,
1014,-4.3,12.0,-471.7,-1.0,12.7
1015,,,,,
1016,-4.2,12.0,-472.5,-1.0,12.7
1017,-4.2,12.0,-472.2,-1.0,12.7
1018,,,,,
1019,-4.3,12.0,-472.5,-1.1,12.7
1020,,,,,
1021,-4.2,12.0,-472.2,-1.0,12.7
1022,,,,,
1023,,,,,
1024,-4.2,12.0,-471.5,-1.0,12.7
1025,-4.2,12.0,-472.3,-1.0,12.7
1026,,,,,
1027,-4.2,12.0,-472.4,-1.0,12.7
1028,,,,,
1029,-4.2,12.0,-472.3,-1.0,12.7
1030,,,,,
1031,-4.2,12.0,-472.1,-1.0,12.7
1032,,,,,
1033,-4.3,12.0,-472.2,-1.1,12.7
1034,,,,,
1035,-4.2,12.0,-472.0,-1.0,12.7
1036,,,,,
1037,-4.2,12.0,-471.2,-1.0,12.6
1038,,,,,
1039,,,,,
1040,-4.2,12.0,-471.9,-1.1,12.7
1041,,,,,
1042,-4.2,12.0,-472.6,-1.1,12.7
1043,,,,,
1044,-4.2,12.0,-473.1,-1.1,12.7
1045,,,,,
1046,-4.3,12.0,-472.3,-1.2,12.7
1047,,,,,
1048,-4.3,12.0,-473.3,-1.2,12.7
1049,,,,,
1050,-4.2,12.0,-472.2,-1.1,12.7
1051,,,,,
1052,-4.2,12.0,-472.5,-1.2,12.7
1053,-4.2,12.0,-471.8,-1.1,12.7
1054,,,,,
1055,-4.2,12.0,-471.5,-1.1,12.7
1056,,,,,
1057,,,,,
1058,-4.2,12.0,-472.1,-1.1,12.7
1059,,,,,
1060,-4.1,12.0,-472.1,-1.1,12.6
1061,-4.2,12.0,-472.2,-1.2,12.7
1062,,,,,
1063,-4.2,12.0,-472.3,-1.2,12.7
1064,,,,,
1065,-4.3,12.1,-473.7,-1.3,12.7
1066,,,,,
1067,,,,,
1068,-4.2,12.0,-472.5,-1.2,12.7
1069,-4.2,12.0,-471.8,-1.2,12.7
1070,,,,,
1071,,,,,
1072,-4.2,12.0,-471.6,-1.2,12.7
1073,,,,,
1074,-4.3,12.0,-472.0,-1.3,12.7
1075,-4.3,12.0,-472.0,-1.3,12.7
1076,,,,,
1077,-4.2,12.0,-472.3,-1.2,12.7
1078,,,,,
1079,,,,,
1080,-4.2,12.0,-472.4,-1.2,12.7
1081,-4.2,12.0,-471.6,-1.2,12.7
1082,,,,,
1083,,,,,
1084,-4.2,12.0,-471.8,-1.3,12.7
1085,,,,,
1086,-4.3,12.0,-471.7,-1.4,12.7
1087,-4.3,12.0,-471.7,-1.4,12.7
1088,,,,,
1089,,,,,
1090,-4.3,12.0,-472.2,-1.3,12.7
1091,-4.2,12.0,-472.2,-1.3,12.7
1092,,,,,
1093,,,,,
1094,-4.2,12.0,-472.0,-1.3,12.6
1095,,,,,
1096,-4.2,12.0,-471.7,-1.3,12.6
1097,,,,,
1098,-4.2,12.0,-472.4,-1.3,12.6
1099,-4.3,12.0,-472.1,-1.4,12.7
1100,,,,,
1101,,,,,
1102,-4.2,12.0,-471.9,-1.3,12.6
1103,,,,,
1104,-4.3,12.0,-472.2,-1.4,12.7
1105,,,,,
1106,-4.2,12.0,-473.1,-1.3,12.6
1107,,,,,
1108,-4.2,12.0,-472.7,-1.4,12.7
1109,,,,,
1110,-4.3,12.0,-472.2,-1.5,12.7
1111,-4.2,12.0,-472.6,-1.4,12.6
1112,,,,,
1113,,,,,
1114,-4.2,12.0,-472.6,-1.4,12.6
1115,,,,,
1116,-4.3,12.0,-472.0,-1.5,12.7
1117,,,,,
1118,-4.1,12.0,-471.9,-1.3,12.6
1119,-4.2,12.0,-472.1,-1.4,12.6
1120,,,,,
1121,,,,,
1122,-4.2,12.0,-471.8,-1.4,12.6
1123,-4.2,12.0,-471.9,-1.4,12.6
1124,,,,,
1125,,,,,
1126,-4.1,12.0,-471.7,-1.3,12.6
1127,,,,,
1128,-4.2,12.0,-472.0,-1.4,12.6
1129,-4.3,12.0,-472.4,-1.5,12.7
1130,,,,,
1131,-4.1,12.0,-471.6,-1.4,12.6
1132,,,,,
1133,-4.2,12.0,-471.8,-1.4,12.6
1134,,,,,
1135,,,,,
1136,-4.3,12.0,-471.8,-1.6,12.7
1137,,,,,
1138,-4.2,12.0,-471.8,-1.5,12.6
1139,,,,,
1140,-4.3,12.0,-472.9,-1.5,12.6
1141,-4.3,12.0,-472.1,-1.6,12.6
1142,-4.3,12.0,-471.9,-1.6,12.6
1143,,,,,
1144,,,,,
1145,-4.3,12.0,-472.6,-1.6,12.6
1146,,,,,
1147,-4.2,12.0,-472.4,-1.5,12.6
1148,-4.1,12.0,-472.2,-1.4,12.6
1149,,,,,
1150,,,,,
1151,-4.2,12.0,-472.2,-1.6,12.6
1152,,,,,
1153,-4.1,11.9,-472.0,-1.5,12.5
1154,,,,,
1155,-4.4,12.1,-472.7,-1.7000000000000002,12.8
1156,,,,,
1157,-4.2,12.0,-472.6,-1.6,12.6
1158,-4.2,12.0,-472.6,-1.6,12.6
1159,,,,,
1160,-4.2,12.0,-472.0,-1.6,12.6
1161,,,,,
1162,,,,,
1163,-4.1,12.0,-472.6,-1.5,12.6
1164,-4.2,12.0,-472.6,-1.6,12.6
1165,,,,,
1166,,,,,
1167,-4.3,12.0,-473.1,-1.6,12.6
1168,,,,,
1169,-4.2,12.0,-472.4,-1.6,12.6
1170,,,,,
1171,-4.2,12.0,-472.5,-1.6,12.6
1172,,,,,
1173,-4.1,12.0,-472.1,-1.6,12.6
1174,,,,,
1175,-4.2,12.0,-472.4,-1.6,12.6
1176,,,,,
1177,-4.3,12.0,-472.2,-1.7000000000000002,12.6
1178,,,,,
1179,-4.2,12.0,-472.4,-1.6,12.6
1180,,,,,
1181,-4.3,12.1,-473.0,-1.7000000000000002,12.7
1182,,,,,
1183,-4.3,12.1,-473.0,-1.7000000000000002,12.7
1184,,,,,
1185,-4.2,12.0,-472.6,-1.7000000000000002,12.6
1186,-4.2,12.0,-472.4,-1.7000000000000002,12.6
1187,,,,,
1188,,,,,
1189,-4.2,12.0,-472.9,-1.7000000000000002,12.6
1190,-4.2,12.0,-472.7,-1.7000000000000002,12.6
1191,,,,,
1192,-4.1,12.0,-472.6,-1.6,12.6
1193,,,,,
1194,-4.1,12.0,-473.1,-1.6,12.6
1195,,,,,
1196,-4.1,12.0,-472.9,-1.6,12.6
1197,,,,,
1198,,,,,
1199,-4.1,12.0,-472.2,-1.6,12.6
1200,,,,,
1201,-4.3,12.0,-472.9,-1.8,12.6
1202,-4.2,12.0,-472.8,-1.7000000000000002,12.6
1203,,,,,
1204,,,,,
1205,-4.2,12.0,-473.2,-1.7000000000000002,12.6
1206,-4.2,12.0,-472.3,-1.7000000000000002,12.6
1207,,,,,
1208,-4.1,12.0,-472.7,-1.6,12.6
1209,,,,,
1210,-4.2,12.0,-473.0,-1.7000000000000002,12.6
1211,,,,,
1212,-4.2,12.0,-472.9,-1.8,12.6
1213,,,,,
1214,,,,,
1215,-4.2,12.0,-472.8,-1.8,12.6
1216,-4.2,12.0,-472.7,-1.8,12.6
1217,,,,,
1218,-4.2,12.0,-473.7,-1.8,12.6
1219,,,,,
1220,-4.1,12.0,-473.2,-1.7000000000000002,12.6
1221,,,,,
1222,,,,,
1223,-4.1,12.0,-473.1,-1.7000000000000002,12.6
1224,,,,,
1225,-4.2,12.0,-472.7,-1.8,12.6
1226,-4.2,12.0,-472.6,-1.8,12.6
1227,,,,,
1228,-4.3,12.0,-473.1,-1.9,12.6
1229,,,,,
1230,-4.2,12.0,-472.5,-1.8,12.6
1231,,,,,
1232,-4.2,12.0,-473.2,-1.8,12.6
1233,,,,,
1234,,,,,
1235,-4.3,12.0,-472.1,-1.9,12.6
1236,,,,,
1237,-4.2,12.1,-474.4,-1.8,12.7
1238,,,,,
1239,-4.2,12.0,-472.5,-1.8,12.6
1240,,,,,
1241,-4.2,12.0,-472.1,-1.8,12.6
1242,-4.2,12.0,-472.1,-1.9,12.6
1243,,,,,
1244,,,,,
1245,-4.3,12.0,-471.8,-2.0,12.6
1246,,,,,
1247,-4.1,12.0,-471.8,-1.8,12.6
1248,-4.2,12.0,-471.4,-1.9,12.6
1249,,,,,
1250,,,,,
1251,-4.3,12.0,-472.0,-2.0,12.6
1252,-4.2,12.0,-472.2,-1.9,12.6
1253,,,,,
1254,-4.1,12.0,-472.2,-1.8,12.5
1255,,,,,
1256,,,,,
1257,-4.2,12.0,-471.5,-1.9,12.5
1258,,,,,
1259,-4.1,12.0,-471.9,-1.8,12.6
1260,-4.2,12.0,-471.9,-1.9,12.6
1261,,,,,
1262,-4.2,12.0,-472.3,-1.9,12.6
1263,,,,,
1264,,,,,
1265,-4.2,12.0,-472.3,-1.9,12.6
1266,-4.2,12.0,-471.9,-1.9,12.6
1267,,,,,
1268,,,,,
1269,-4.2,12.0,-472.2,-1.9,12.6
1270,,,,,
1271,-4.1,12.0,-472.2,-1.9,12.6
1272,,,,,
1273,-4.2,12.0,-472.5,-1.9,12.6
1274,,,,,
1275,-4.1,12.0,-472.6,-1.9,12.5
1276,-4.2,12.0,-474.9,-1.9,12.6
1277,,,,,
1278,,,,,
1279,-4.1,12.0,-471.9,-1.9,12.5
1280,-4.1,12.0,-472.0,-1.9,12.5
1281,,,,,
1282,,,,,
1283,-4.2,12.0,-472.6,-2.0,12.6
1284,,,,,
1285,-4.2,12.0,-473.0,-2.0,12.6
1286,,,,,
1287,-4.2,12.0,-470.6,-2.0,12.5
1288,,,,,
1289,-4.1,12.0,-472.3,-1.9,12.5
1290,-4.2,12.0,-472.7,-2.0,12.6
1291,,,,,
1292,-4.1,12.0,-472.4,-1.9,12.5
1293,,,,,
1294,,,,,
1295,-4.1,12.0,-471.6,-2.0,12.5
1296,,,,,
1297,-4.1,11.9,-469.8,-1.9,12.5
1298,,,,,
1299,-4.3,12.2,-477.6,-2.1,12.7
1300,,,,,
1301,-4.3,12.1,-477.1,-2.1,12.7
1302,,,,,
1303,-4.2,12.0,-472.5,-2.0,12.6
1304,-4.1,12.0,-472.4,-1.9,12.5
1305,,,,,
1306,,,,,
1307,-4.1,12.0,-471.1,-1.9,12.5
1308,,,,,
1309,-4.2,12.0,-472.2,-2.0,12.5
1310,-4.2,12.1,-473.3,-2.0,12.6
1311,,,,,
1312,-4.2,12.1,-473.0,-2.0,12.6
1313,,,,,
1314,-4.2,12.0,-472.6,-2.1,12.5
1315,,,,,
1316,-4.2,12.0,-476.5,-2.0,12.5
1317,,,,,
